,Comment
26,"['salah', 'bukti', 'hadir', 'negara', 'negaradan', 'gotong', 'royong', 'rakyat', 'rakyat']"
27,"['bantu', 'denga', 'bpjs', 'sehat', 'teman', 'mari', 'sisi', 'positif', 'butuh', 'saudara', 'butuh']"
28,"['tengah', 'wabah', 'corona', 'bpjs', 'naik', 'tengah', 'rakyat', 'miskin', 'rakyat', 'phk', 'bbm', 'diturunturunkanotak', 'mana', 'tuh', 'putus', 'ma', 'dicuekin']"
29,"['bijak', 'udah', 'realistis', 'bpjs', 'sehat', 'gak', 'paksa', 'serta', 'daftar', 'kelas', 'kalo', 'gak', 'bayar', 'pilih', 'kelas', 'lapor', 'dinsos', 'data', 'masyarakat', 'mau', 'hak', 'kelas', 'bayar', 'sama', 'kelas']"
30,"['bela', 'sby', 'jaman', 'beliau', 'dikit', 'kamum', 'banteng', 'ngamuk', 'gilir', 'jujunganya', 'yah']"
31,"['setujudng', 'angka', 'manfaat', 'ribu', 'harinyalebih', 'juta', 'jiwa', 'biaya', 'pemerintahkls', 'bantu', 'subsididari', 'contoh', 'negara', 'hadir', 'untk', 'masyarakatsesuai', 'dng', 'azas', 'gotong', 'royong', 'tertolongbpjs', 'sehat']"
32,"['puji', 'tuhandengan', 'bpjs', 'sehat', 'tolong', 'smoga', 'slalu', 'sehat', 'trima', 'kasih', 'bpjs', 'sehat', 'gotong', 'royong', 'smua', 'tolong']"
33,"['penting', 'kelompok', 'tuju', 'iur', 'goyang', 'sustainabilitas', 'bpjs', 'tenang', 'turun', 'kelas', 'rasa', 'berat', 'bayar', 'gak', 'bayang', 'bayar', 'asuransi', 'swasta', 'tua', 'keluarga', 'gak', 'bpjs']"
34,"['terimakasih', 'bpjs', 'sehat', 'hadir', 'bantu', 'rakyat', 'indonesia', 'pribadi', 'atur', 'perintah', 'krn', 'putus', 'yg', 'baik', 'rakyat', 'bpjs', 'kelas', 'kelas', 'naik', 'iur', 'krn', 'hitung', 'tabung', 'sehat', 'pribadi', 'rbhr', 'tdk', 'berat', 'krn', 'yg', 'nabung', 'amal', 'krn', 'bantu', 'saudara', 'yg', 'sakit', 'nabung', 'sehat']"
35,"['putus', 'pemerintahsistem', 'gotong', 'royong', 'bpjs', 'sehat', 'selenggara', 'jamin', 'sehat', 'nasional', 'jkn', 'baik', 'perintah', 'bidang', 'sehat', 'masyarakat', 'golong', 'tengah', 'tidakseluruh', 'elemen', 'bangsa', 'hadir', 'perintah', 'masyarakat', 'bpjs', 'sehat', 'bahu', 'bahu', 'ringan', 'beban', 'ekonomi', 'masyarakat', 'bidang', 'kesehatantidak', 'yg', 'baiktidak', 'yg', 'berhasilmari', 'masyarakat', 'ringan', 'beban', 'nyamendukung', 'apresiasi', 'depan', 'bpjs', 'sehat', 'pilar', 'utama', 'sehat', 'rakyat', 'indonesia']"
36,"['jd', 'bpjs', 'sehat', 'tuh', 'kasihan', 'layan', 'faskes', 'top', 'iur', 'was', 'telat', 'bayar', 'faskes', 'komen', 'bpjs', 'kes', 'ttp', 'semangat', 'ayo', 'bantu', 'perintah', 'hadir', 'layan', 'sehat', 'yg', 'unggul', 'diskriminasi', 'bpjs', 'sehat', 'moga', 'ubah', 'terima', 'bijak', 'objektif', 'lahir', 'layan', 'yg', 'bpjs', 'sehat', 'indonesia', 'yg', 'tangguh']"
37,"['terimakasih', 'bpjs', 'sehat', 'hadir', 'utk', 'jamin', 'sehat', 'indonesia']"
38,"['bpjs', 'sehat', 'bangun', 'kualitas', 'negara', 'bantu', 'sektor', 'sehat', 'moga', 'semangaat', 'bpjs', 'sehat']"
39,"['manfaat', 'serta', 'bpjs', 'sehat', 'alhamdulillah', 'bpjs', 'sehat', 'masyarakat', 'tolong', 'syukur', 'bpjs', 'sehat', 'terima', 'kasih', 'bpjs', 'sehat', 'semangat']"
40,"['syukur', 'bpjs', 'sehat', 'byk', 'yg', 'bantu', 'bpjs', 'sehat', 'smoga', 'bpjs', 'sehat', 'terussssssss']"
41,"['seblm', 'program', 'jkn', 'kis', 'pns', 'kaya', 'obat', 'rumah', 'sakit', 'semenjak', 'program', 'jkn', 'kis', 'warga', 'ekonomi', 'tengah', 'bawah', 'obat', 'rumah', 'sakit', 'terimakasih', 'program', 'jkn', 'kis', 'terimakasih', 'bpjs', 'sehat', 'lanjut']"
42,"['hidup', 'jam', 'kontradiktif', 'berfikir', 'positif', 'ngga', 'salah', 'inisiatif', 'program', 'kondusif', 'selamat', 'karya', 'selamat', 'juang', 'program', 'mulia', 'masyarakat', 'indonesia', 'butuh', 'bantu', 'indonesia']"
43,"['ayo', 'masyarakat', 'taat', 'bayar', 'bpjs', 'kesehatankita', 'bantu', 'masyarakat', 'yg', 'butuh', 'yg', 'kaya', 'pelitjangan', 'turun', 'kelaspilih', 'kelas']"
44,"['pikir', 'bijak', 'sadar', 'gotong', 'royong', 'indonesia', 'gotong', 'royong', 'tolong']"
45,"['bpjs', 'hadir', 'gotong', 'royong', 'tolong']"
46,"['bpjs', 'sehat', 'rakyat', 'bangsa', 'negara']"
47,"['rasa', 'manfaat', 'bpjs', 'sehat', 'tua', 'yg', 'milik', 'sakit', 'jantung', 'operasi', 'jantung', 'pasang', 'ring', 'itu', 'biaya', 'sakal', 'ga', 'bayang', 'ratus', 'juta', 'keluar', 'biaya', 'operasi', 'jantung', 'bantu', 'iur', 'sesuai', 'besar', 'biaya', 'sehat', 'rumah', 'sakit', 'pilih', 'kelas', 'sesuai', 'mampu']"
48,"['sinar', 'depan', 'bpjs', 'sehat']"
49,"['alhamdulillah', 'keluarga', 'rasa', 'manfaat', 'program', 'bpjs', 'sehat']"
50,"['alhamdulillah', 'perintah', 'hadir', 'bijak', 'penting', 'rakyat', 'keluarga', 'rasa', 'manfaat', 'peogram', 'jknkis', 'moga', 'perintah', 'bpjs', 'sehat', 'bantu', 'masyarakat', 'butuh', 'layan', 'sehat', 'aaamiiiin']"
51,"['mari', 'bantu', 'bpjs', 'sehat', 'bayar', 'iyuran', 'waktu', 'bantu']"
52,"['alhamdulillah', 'bpjs', 'sehat', 'sehat', 'keluarga', 'tolong', 'keluarga', 'sehat', 'utama', 'gak', 'ambil', 'pusing', 'keluarga', 'rasa', 'nama', 'obat', 'pakai', 'kartu', 'bpjs', 'sehat', 'alhamdulillah', 'obat', 'pakai', 'kartu', 'bpjs', 'sehat', 'nama', 'keluar', 'uang', 'gede', 'puluh', 'juta', 'gak', 'tu', 'obat', 'biaya', 'obat', 'udah', 'tanggung', 'bpjs', 'sehat', 'iur', 'motor', 'mobil', 'rumah', 'perabot', 'sehat', 'gak', 'thanks', 'bpjs', 'sehat']"
53,"['sy', 'istilah', 'yg', 'program', 'jkn', 'barang', 'kualitas', 'bagus', 'beli', 'biaya', 'yg', 'murah', 'salah', 'prinsip', 'program', 'jkn', 'gotong', 'royong', 'iur', 'serta', 'yg', 'sehat', 'biaya', 'yg', 'sakit', 'rasa', 'manfaat', 'obat', 'yg', 'kait', 'ubah', 'iur', 'serta', 'kls', 'tdk', 'utk', 'bayar', 'pilih', 'turun', 'kelas', 'timbul', 'tunggak', 'program', 'butuh', 'kerjasama', 'dr', 'moga', 'kt', 'kondisi', 'yg', 'sehat', 'serta', 'yg', 'sakit', 'moga', 'rasa', 'manfaat', 'dr', 'program', 'jkn', 'indonesia']"
54,"['perintah', 'bpjs', 'sehat', 'hadir', 'masyarakat', 'jamin', 'sehat', 'masyarakat', 'masyarakat', 'ragu', 'obat', 'program', 'caiyoo', 'jknkis', 'bantu', 'masyarakat']"
55,"['bpjs', 'sehat', 'bantu', 'biaya', 'rumah', 'sakit', 'sehat', 'jamin', 'sesuatuterimakasih', 'bpjs', 'sehat']"
56,"['negara', 'hadir', 'rakyat', 'program', 'jamin', 'sehat', 'kasih', 'nikmat', 'sehat', 'syukur', 'gotong', 'royong', 'indonesia', 'yg', 'sehat', 'spread', 'positive', 'vibes']"
57,"['bpjs', 'sehat', 'manfaat', 'saudara', 'sepupu', 'operasi', 'angkat', 'kista', 'obat', 'rutin', 'stlh', 'operasi', 'bayar', 'saudara', 'kanker', 'payudara', 'ops', 'angkat', 'payudara', 'kemoterapi', 'pakai', 'bpjs', 'sehat', 'allah', 'pd', 'beliau', 'wafat', 'terima', 'kasih', 'bpjs', 'sehat']"
58,"['yg', 'serba', 'sulit', 'naik', 'bpjs', 'kesehatanmenjadi', 'polemik', 'mersa', 'naik', 'beban', 'bg', 'masyrakattp', 'sisi', 'naik', 'iur', 'tsbkarena', 'kelangsumgan', 'program', 'jkn', 'kistoh', 'naik', 'slm', 'batas', 'kewajaranklo', 'sy', 'perintah', 'naik', 'iur', 'tsbdemi', 'penting', 'kit', 'bersamatks']"
59,"['kalo', 'aware', 'jamin', 'sehat', 'warga', 'warga', 'warga', 'pilih', 'sesuai', 'mampu', 'program', 'jkn', 'kis', 'tinggal', 'warga', 'penuh', 'sadar', 'ikhlas', 'kalo', 'data', 'terima', 'bantu', 'iur', 'lapor', 'pindah', 'kelas', 'sesuai', 'mampu', 'insya', 'allah', 'imbang', 'sosial', 'kis', 'laksana', 'prinsip', 'gotong', 'royong', 'sepenuh', 'jalan', 'maju', 'bpjs', 'sehat', 'warga', 'butuh']"
60,"['iur', 'dibayarin', 'perintah', 'iur', 'bayar', 'kelas', 'iii', 'iur', 'bayar', 'kelas', 'ii', 'kelas', 'kategori', 'tinggal', 'pilih', 'kelompok', 'so', 'simpledibikin', 'happy', 'guys']"
61,"['iur', 'yg', 'bayar', 'masyarakat', 'bpjs', 'kelas', 'tahun', 'kelas', 'turun', 'perintah', 'tanggung', 'kurang', 'bantu', 'biaya', 'obat', 'tinggi', 'masyarakat', 'istilah', 'jual', 'tanah', 'biaya', 'obat', 'kayak']"
62,"['zaman', 'askes', 'bpjs', 'keluarga', 'tolong', 'dg', 'bpjs', 'lahir', 'putra', 'putri', 'sakit', 'jg', 'dicover', 'bpjs', 'naik', 'pikir', 'dg', 'gotong', 'royong', 'ringan', 'yg']"
63,"['surat', 'bpjs', 'sehat', 'terimakasih', 'milik', 'kartu', 'jkn', 'kis', 'anggota', 'keluarga', 'obat', 'mudah', 'praktis', 'tanggung', 'bpjs']"
64,"['banyak', 'bersyukurprinsip', 'iur', 'jkn', 'gotong', 'royongpada', 'hakekatnya', 'sedekahkrn', 'iur', 'yg', 'utk', 'manfaat', 'saudara', 'masyarakat', 'yg', 'sakit', 'yg', 'sehat', 'alhamdulillah', 'yg', 'sehat', 'moga', 'iur', 'jd', 'amal', 'ibadahbagi', 'yg', 'sakit', 'mudah', 'membatuaamiin']"
65,"['masyarakat', 'rasa', 'besar', 'manfaat', 'yg', 'dapat', 'serta', 'jkn', 'banding', 'besar', 'iur', 'yg', 'bayar']"
66,"['alhamdulillah', 'jkn', 'indonesia', 'daftar', 'org', 'tua', 'dg', 'iur', 'yg', 'lumayan', 'jangkau', 'coba', 'kalo', 'asuransi', 'swasta', 'syarat', 'ny', 'usia', 'org', 'tua', 'sdh', 'syukur', 'sehat', 'iur', 'yg', 'bayar', 'bantu', 'saudara', 'yg', 'butuh', 'layan', 'rs', 'sakit', 'ragu', 'program', 'perintah', 'bukti', 'perintah', 'hadir']"
67,"['moga', 'layan', 'masyarakat']"
68,"['mari', 'gotong', 'royong']"
69,"['program', 'jkn', 'hadir', 'masyarakat', 'bantu', 'mari', 'gotong', 'royong', 'yg', 'budaya', 'bangsa']"
70,"['tuju', 'ikhlas', 'naik', 'iur', 'bpjs', 'kesehatansejalan', 'prinsip', 'gotong', 'royong', 'program', 'asuransi', 'sosial']"
71,"['terima', 'kasih', 'bpjs', 'sehat', 'moga', 'bpjs', 'sehat', 'lanjut']"
72,"['keluarga', 'dlu', 'rs', 'bener', 'mikir', 'liat', 'tetangga', 'habis', 'rawat', 'rs', 'jual', 'harta', 'benda', 'ludes', 'program', 'bpjs', 'yg', 'rakyat']"
73,"['alhamdulillah', 'bpjs', 'hadir', 'saat', 'rakyat', 'butuh', 'obat']"
74,"['alhamdulillahsdh', 'manfaat', 'bantu', 'dgn', 'bpjs', 'sehat', 'terima', 'kasih', 'bpjs', 'sehat']"
75,"['program', 'jkn', 'kis', 'indonesia', 'yg', 'sehat', 'gotong', 'royong']"
76,"['bpjs', 'sehat', 'masyarakat', 'jamin', 'sehat', 'iur', 'rendah', 'program', 'sehat', 'manfaat', 'bpjs', 'sehat', 'cuci', 'darah', 'umur', 'hidup', 'iur', 'bpjs', 'sehat', 'mari', 'gotong', 'royong', 'bantu']"
77,"['sesuai', 'iur', 'jkn', 'bentuk', 'hadir', 'negara', 'masyarakat', 'manfaat', 'layan', 'kesehatansehari', 'capai', 'angka', 'ribu', 'biaya', 'layan', 'sehat', 'mahal', 'harus', 'kalang', 'karna', 'biaya', 'yg', 'keluar', 'bpjs', 'sehat', 'utk', 'bayar', 'biaya', 'layan', 'besarsehingga', 'mari', 'bijak', 'karna', 'yg', 'iur', 'kelas', 'kls', 'kl', 'bayar', 'kls', 'turun', 'kls', 'subsidi', 'perintah']"
78,"['sesuai', 'iur', 'jkn', 'bentuk', 'hadir', 'negara', 'masyarakat', 'manfaat', 'layan', 'kesehatansehari', 'capai', 'angka', 'ribu', 'biaya', 'layan', 'sehat', 'mahal', 'harus', 'kalang', 'karna', 'biaya', 'yg', 'keluar', 'bpjs', 'sehat', 'utk', 'bayar', 'biaya', 'layan', 'besarsehingga', 'mari', 'bijak', 'karna', 'yg', 'iur', 'kelas', 'kls', 'kl', 'bayar', 'kls', 'turun', 'kls', 'subsidi', 'perintah']"
79,"['terimakasih', 'bpjs', 'sehat', 'kis', 'ngebantu', 'rakyat', 'tengah', 'bawah', 'obat', 'rs', 'operasi', 'gratis']"
80,"['jelas', 'bpk', 'dirut', 'bpjs', 'sehat', 'tsb', 'keluarga', 'iur', 'yg', 'bayar', 'rutin', 'bulanmeskipun', 'kam', 'blm', 'manfaat', 'bpjs', 'alhamdulillah', 'blm', 'sakit', 'moga', 'iur', 'yg', 'bayar', 'bantu', 'saudara', 'bangsa', 'yg', 'sakit']"
81,"['terima', 'kasih', 'perintah', 'subsidi', 'iuaran', 'bpjs', 'sehat', 'serta', 'mandiri', 'kls', 'serta', 'terima', 'bantu', 'iuaran', 'jamin', 'sehat', 'pbi', 'jk', 'masyarakat', 'indonesian', 'bantu', 'jamin', 'sehat', 'program', 'jkn', 'sesuai', 'dengn', 'prinsip', 'bpjs', 'sehat', 'gotong', 'royong', 'tolong']"
82,"['perintah', 'fleksibel', 'kalo', 'kelas', 'berat', 'turun', 'kelas', 'kalo', 'rasa', 'berat', 'daftar', 'sbagai', 'warga', 'dinas', 'sosial']"
83,"['bantu', 'dg', 'bpjs', 'sehat', 'program', 'jamin', 'sehat', 'nasional', 'masyarakat', 'obat', 'sesuai', 'butuh', 'mari', 'dukung', 'bpjs', 'sehat', 'jalan', 'program', 'jamin', 'sehat', 'nasional', 'gotong', 'royong', 'tolong']"
84,"['alhamdulillah', 'perintah', 'hadir', 'subsidi', 'iur', 'masyarakat']"
85,"['mari', 'gotong', 'royong', 'wujud', 'syukur', 'tuhan', 'pelihara', 'jaga', 'pola', 'hidup', 'sehat', 'keluarga', 'lingkung', 'bangsa', 'negara', 'instansi', 'menteri', 'kontribusi', 'layan', 'negara', 'negara', 'pub', 'hadir', 'jaga', 'program', 'sehat', 'moga', 'sehat', 'walafiat', 'wujud', 'sdm', 'unggul', 'mudahmudahan', 'indonesia', 'maju', 'aamiin']"
86,"['mari', 'paham', 'regulasi', 'sisi', 'positif', 'alhamdulillah', 'masyarakat', 'bantu', 'program', 'jkn', 'semangat', 'layan', 'masyarakat', 'langsung', 'program', 'jkn']"
87,"['manfaat', 'bpjs', 'ras']"
88,"['gotong', 'royong', 'sustainabilitas', 'program', 'jkn', 'terima', 'kasih', 'perintah', 'hadir', 'masyarakat', 'butuh', 'butuh', 'dasar', 'sehat', 'masyarakat', 'alhamdulillah', 'iur', 'bpjs', 'sehat', 'kelas']"
89,"['serta', 'bpjs', 'keluarga', 'alhamdulillah', 'sehat', 'cerita', 'sisi', 'positif', 'dasar', 'alam', 'cerita', 'alam', 'tetangga', 'anak', 'milik', 'benjol', 'dada', 'lahir', 'benjol', 'besar', 'dokter', 'saran', 'operasi', 'pakai', 'bpjs', 'sehat', 'selesai', 'operasi', 'biaya', 'rumah', 'sakit', 'keluar', 'biaya', 'akomodasi', 'program', 'manfaat', 'masyarakat', 'biaya', 'obat', 'gotong', 'royong', 'ringan', 'tolong', 'tetangga', 'saya', 'harap', 'kemudi', 'butuh', 'tolong', 'tolong', 'program', 'semangat', 'bpjs', 'sehat']"
90,"['alhamdulillah', 'program', 'bpjs', 'sehat', 'guna', 'masyarakat', 'luas', 'bantu', 'masyarakat', 'luat']"
91,"['jempol', 'jempol', 'apresiasi', 'program', 'jkn', 'kis', 'yg', 'selenggara', 'bpjs', 'sehat', 'program', 'dukung', 'yg', 'bantu', 'gotong', 'royong']"
92,"['gotong', 'royong', 'tolong']"
93,"['program', 'bubar', 'ken', 'tau', 'reaksi', 'masyarakan', 'hehe']"
94,"['moga', 'masyarakat', 'paham', 'heboh', 'cari', 'tahukelas', 'bantu', 'bantu', 'negaramasyarakat', 'tinggal', 'pilih', 'sesuai', 'mampu']"
95,"['gotong', 'royong', 'tolong', 'perintah', 'hadir', 'subsidi', 'serta', 'kelas', 'pbi']"
96,"['alhamdulillah', 'program', 'bpjs', 'bantu', 'iur', 'ga', 'berat', 'banding', 'biaya', 'sehat', 'yg', 'mahal', 'ratus', 'juta', 'rupiah']"
97,"['gotong', 'royong', 'indonesia']"
98,"['syukur', 'keluarga', 'rasa', 'manfaat', 'program', 'operasi', 'caesar', 'tanggung', 'bpjs', 'suami', 'operasi', 'tanggung', 'penuh', 'gak', 'bayar', 'peser', 'mertua', 'rutin', 'cuci', 'darah', 'minggu', 'tanggung', 'bpjs', 'biaya', 'cuci', 'darah', 'juta', 'loh', 'gak', 'bayang', 'bulan', 'nyiapin', 'uang', 'juta', 'untung', 'bpjs', 'manfaat', 'iur', 'dibayarterimakasih', 'bpjs', 'sehat']"
99,"['era', 'jkn', 'masyarakat', 'percaya', 'obat', 'fasilitas', 'sehat', 'kartu', 'serta', 'jknkis', 'khawatir', 'biaya', 'layan', 'sehat', 'mahal', 'kadang', 'jual', 'gotong', 'royong', 'jamin', 'negara', 'moga', 'sehat', 'iur', 'bantu', 'sakit']"
100,"['alhamdulillah', 'negara', 'hadir', 'saat', 'rakyat', 'butuh', 'gotong', 'royong', 'tolong', 'terimakasih', 'jknkis', 'terimakasih', 'bpjs', 'sehat']"
101,"['manfaat', 'rasa', 'masyarakat', 'iur', 'serta', 'kelas', 'aja', 'bayar', 'masyarakat', 'sisa', 'subsidi', 'perintah', 'pusat', 'daftar', 'kelas', 'berat', 'iur', 'tinggal', 'pindah', 'aja', 'kelas', 'iur', 'bayar', 'penuh', 'perintah']"
102,"['sesuai', 'iur', 'perintah', 'sdh', 'batu', 'masyarakat', 'program', 'jkn', 'rasa', 'manfaat', 'masyarakat']"
103,"['bpjs', 'bayar', 'premi', 'dikit', 'jamin', 'langit']"
104,"['bpjs', 'sehat', 'semangat', 'gotong', 'royong', 'sesuai', 'budaya', 'indonesia', 'bantu', 'bantu', 'moga', 'iur', 'premi', 'amal', 'ibadah', 'amin']"
105,"['bpjs', 'mania']"
106,"['keluarga', 'guna', 'salah', 'jamin', 'bpjs', 'sehat', 'ekonomi', 'manfaat', 'yg', 'terima', 'banding', 'naik', 'iur', 'wajib', 'bayar', 'moga', 'masyarakat', 'indonesia', 'cerah', 'program', 'manfaat', 'harap', 'program', 'proteksi', 'tengah', 'mahal', 'biaya', 'layan', 'sehat']"
107,"['moga', 'senantiasa', 'sehat', 'bantu', 'orangorang', 'buntu', 'iur', 'amin']"
108,"['sepenuhny', 'bela', 'bpjs', 'adil', 'dlm', 'menyikapikalo', 'hitung', 'nabung', 'ribu', 'bulan', 'tahun', 'dehtiba', 'rawat', 'dgn', 'biaya', 'juta', 'tercover', 'gak', 'sih', 'pd', 'cari', 'uang', 'gak', 'sih', 'dpt', 'ny', 'waktu', 'cepet', 'minjem', 'sibuk', 'doa', 'yah', 'coba', 'deh', 'hitunganoh', 'iy', 'yg', 'sakit', 'yg', 'beratiya', 'depan', 'yakinkita', 'cicil', 'mobilmotorrumahpakairan', 'dll', 'unt', 'investasi', 'sehat', 'hitungitu', 'sih', 'yg', 'share', 'yg', 'rs', 'keluarga']"
109,"['terimakasih', 'bpjs', 'sehat', 'gotong', 'royong', 'tolong', 'bpjs', 'obat', 'kwatir', 'biaya']"
110,"['premi', 'murah', 'banding', 'manfaat', 'yg', 'luas', 'bayang', 'waktu', 'istri', 'sesar', 'juta', 'broduit', 'darimana', 'sdh', 'tahun', 'iur', 'jkn', 'sd', 'skrg', 'ngak', 'juta', 'gimana', 'kalo', 'sesar', 'kalo', 'bpjs', 'rawan', 'corona', 'kalo', 'sdh', 'kembali', 'new', 'normal', 'kondisi', 'wabah', 'corona', 'pasti', 'biaya', 'tanggung', 'negara', 'aq', 'dukung', 'bpjs', 'sehat', 'terima', 'kasih', 'bpjs', 'sehat', 'sll', 'butuh']"
111,"['bpjs', 'sehat', 'gotong', 'royong', 'tolong']"
112,"['trima', 'kasih', 'bpjs', 'sehat', 'kluarga', 'yg', 'kartu', 'bpjs', 'pbi', 'apbn', 'yg', 'hrus', 'bolak', 'krmh', 'sakit', 'dgn', 'diagnosa', 'lupus', 'sle', 'sgt', 'trbantu', 'tdak', 'milik', 'kartu', 'bpjs', 'rumah', 'jual', 'moga', 'bpjs', 'sehat', 'hadir', 'masyarakat', 'indonesia', 'bpjs', 'sehat', 'trtolong']"
113,"['langsung', 'bpjs', 'sehat', 'tarif', 'bpjs', 'butuh', 'tinjau', 'ulang', 'tahun', 'krn', 'dgn', 'bpjs', 'sehat', 'masyakarat', 'indonesia', 'sdh', 'tdk', 'takut', 'utk', 'obat', 'sakit', 'mreka', 'paham', 'biaya', 'sehat', 'tdklah', 'murah', 'mreka', 'bayar', 'umum']"
114,"['negara', 'maju', 'milik', 'jamin', 'sosial', 'sehat', 'bpjs', 'sehat', 'komitmen', 'perintah', 'masyarakat', 'maju', 'tinggal', 'kelompok', 'masyarakat', 'berat', 'iur', 'kelas', 'rp', 'sebulanyang', 'kalo', 'kali', 'tahun', 'rp', 'tahun', 'rp', 'hadap', 'tagih', 'salin', 'normal', 'rs', 'capai', 'jutaharusnya', 'syukur', 'ada', 'bpjs', 'sehat']"
115,"['negara', 'hadir', 'tanggung', 'biaya', 'layan', 'sehat', 'warga', 'warga', 'yg', 'gotong', 'royong', 'bantu', 'sehat', 'milik', 'warga', 'negara', 'indonesia', 'terimakasih', 'bpjs', 'sehat', 'kelola', 'transparan']"
