,Comment,english_translate,polarity,Label
200,dan aneh nya mereka kebanyakan cuma aksi pasif contohnya kan mereka bilang covid ini dibuat tapi ya sebatas itu tidak ada solusi contohnya membongkar apa git dan nanti pelindung nya adalah kan new world order dll sudah dicari kalau susah dicari bagaimana mereka tahu apa yang direncanakan bagaimana mereka fe dkk tahu tempatnya selain itu merek tidak punya solusi untuk mengakhiri wabah ini ditanya serius jawabannya lawak ganti topik astaga cirinya ganti topik topik beda tapi nyrempet dari topik utama nah kalau mau kalah pilihannya menuduh kita buzzer pki buzzer rp menuduh kita kafir karena tidak percaya kitab suci padahal syekh yang sekolah nya dan masa hidup nya dihabiskan untuk mengkaji kitab suci bisa salah lah mereka menuduh kita lompat topik membully kita dng topik yang beda kemungkinan besar gosipin kita di kehidupan nyata atau maya kaisih argumen asal sama inti beda kalimat pengulangan hal yang sama nyuruh lihat komunitas fe atau channel youtube fe menjelekkan kita seperti goblok otak monyet otak udang misuh gj kalau dari pembelaan nya mereka ragu mencari pembelaan asal salahkan orang terdekat kita contohnya orang tua mu menyesal melahirkan kamu menyalahkan pemerintah menyalahkan masyarakat karna blom sadar padahal merekalah yang belom sadar berupaya memojokkan kita dng argumen apapun meski tidak nyambung menuduh kita zionis terlalu pasrah pada kehendak tuhan contohnya ditanyain serius jawabannya ini sudah kehendak tuhan padahal tuhan menyuruh mahkluk nya berusaha atau ikhliar bukan pasrah aku curiga orang atau kelompok seperti itu agamanya kurang dalam atau jng atheis terakhir nyalahin cgi standard ganda juga berlaku contohnya kesalahan sama tapi tidak masuk grub fe dikatakan kafir astaga apakah indonesia maju jika masih banyak dan kemungkinan besar tambah banyak lagi orang seperti ini padahal pemerintah susah susah ngrancang pendidikan banyak lo biayanya lebih baik dibelikan sembako daripada buat pendidikan tapi gagal iya tidak adanya kaum dataran selain membuktikan pendidikan suatu negara gagal total juga membuktikan sok taunya luar biasa menembus angkasa,"and strangely, they are mostly just passive actions, for example, they say covid is made but to that extent there is no solution, for example, dismantling what is git and later the protector is a new world order, etc. et al know the place besides that the brand does not have a solution to end this epidemic, they are asked seriously the answer to comedy change the topic, oh my, the characteristics are changing to a different topic but if you want to lose the choice accuses us of buzzer pki buzzer rp accusing us of not believing in the holy book even though sheikhs whose school and life span are spent studying the scriptures can be wrong, they accuse us of jumping on the topic of bullying us with different topics. Most likely our gossipin in real life or virtual kaisih arguments originate from the same core, different sentences, repetition of the same thing, ask to see the community fe or the youtube fe channel demonizing us like idiots brain monkey brain shrimp misuh gj if from their defense they hesitate to seek defense as long as they blame our closest people, for example your parents regret giving birth to you blame the government for not being aware even though they are not yet aware of trying to corner us with any argument even though they are not connected to accuse us of being Zionists too surrender to God's will, for example being asked seriously, the answer is God's will, even though God tells his creatures to try or be sincere, not surrender, I suspect that people or groups like that have a lack of deep religion or atheism, the last blame cgi double standards also applies for example the same error but does not enter grub fe is said to be a disbeliever, oh my god, is Indonesia progressing if there are still a lot of people and most likely there will be more people like this, even though the government is having a hard time designing a lot of education. proving that a country's education has failed miserably also proves its extraordinary pretense through space",-0.0011363636363636413,0
202,there is no vaccine for this virus and it also takes long time to make,there is no vaccine for this virus and it also takes long time to make,-0.05,0
204,orang kita kan gak boleh bikin vaksin ada kemarin yang coba ciiptain dilaporin indonesia dengan berjuta rempah sudah jadi sampah negara akan jatuh miskin dan akan ada,"our people were not allowed to make a vaccine yesterday, which was tried to be created. Reported by Indonesia with millions of spices already turned into waste, the state will fall into poverty and there will be",-0.2,0
209,tidak perlu vaksin hanya tangani media penyebar ketakutan berlebihan sama buzzernya saja memberi masalah lewat media dengan menayangkan berita virus setiap harinya seperti ancaman dan menawarkan solusi vaksin yang seakan sebagai juru selamat namun sebenarnya hanya sekedar ilusi,"No need for vaccines, just handle the media that spreads excessive fear as well as buzzers that cause problems through the media by broadcasting viral news every day like threats and offering vaccine solutions that seem like a savior but are actually just an illusion",-0.125,0
210,saya sih takut virusnya sudah upgrade,I'm afraid the virus has been upgraded,-0.6,0
221,fake vaccine from china read history of fake vaccine from china,fake vaccine from china read history of fake vaccine from china,-0.5,0
222,teori tebar paku virus ditebar saat vaksinnya sudah siap auto untung walaupun pada ngutang minimal panen jangka panjang,"The theory of spreading the nails of the virus is spread when the vaccine is ready, auto profit, even though the debt is at least a long term harvest",-0.04999999999999999,0
227,dasar idi kacung,you idiot idiot,-0.8,0
236,berita tidak jelas,the news is not clear,-0.05000000000000001,0
239,vaksin nya palsu,the vaccine is fake,-0.5,0
241,dah basi bosan berita soal corona sekarang lagi trend berita mercon pleciden planciiiss batuk dibilang corona flu dibilang corona demam dibilang corona media kok kerjaannya menakut nakutin warga aja embeeerr dah bosan daaah corona cmn konspirasi untuk kepentingan bisnis vaksin alat kesehatan,"already stale, tired of news about corona, now the trend of firecrackers, planciiiss, coughs, they say corona flu, are said to be corona flu, are said to be corona fever, are said to be corona media.",-0.45,0
245,pake logika aja virus corona terus bermuatasi setiapa bermutasi vaksinnyapun berbeda lagi nah vaksin itu bisa jadi gak bakal ada efeknya buat virus yang sekarang buat vaksinnya pun sudah mustahil karena virusnya terus bermutasi logikanya lagi virus sars mers dll belom ditemukan padahal virus ini tidak pernah bermutasi kesimpulannya saya tidak divaksin,"Just use logic, the corona virus continues to load, every time the vaccine mutates, it is different, now the vaccine may not have any effect on the virus, which is now impossible to make a vaccine because the virus continues to mutate, logically the Sars Mers virus etc. has not been found even though this virus has never mutated my conclusion not vaccinated",-0.13888888888888887,0
249,no dari abu musa berkata jika rasulullah shallallahu alaihi wa sallam hendak mengutus salah seorang dari sahabatnya untuk suatu urusan maka beliau berpesan berikanlah kabar gembira dan janganlah menakuti nakuti berikanlah kemudahan dan jangan mempersulit surat untuk pemerintah mengenai vaksin dan urusan lainnya serta semua pimpinan perusahaan ke bawahan dan oranglain,"no from abu musa said that if the messenger of Allah -peace and prayer of Allah be upon him- wanted to send one of his friends for some business then he advised to give good news and not to be afraid, give ease and do not complicate letters to the government regarding vaccines and other matters and all company leaders to subordinates and other people",-0.037500000000000006,0
256,takut di suntik ga mau di vaksin,afraid of being injected or not being vaccinated,-0.6,0
271,coba dipelajari laporan ahli virus yan limeng yang lari ke amerika kita dengan peralatan yang sangat minim sebaliknya jangan terburu buru,try to study the report of virologist Yan Limeng who ran to our US with very minimal equipment otherwise don't be in a hurry,-0.13,0
273,saya menolak maaf maaf,I refused sorry sorry,-0.5,0
285,males vaksin,lazy vaccines,-0.25,0
287,takut di vaksin ntar kyak di filipina di vaksin bukan sembuh malah bahaya,"I'm afraid that in the vaccine, the oil in the Philippines will not be cured, it's actually dangerous",-0.6,0
294,mau vaksin apapun tetep aja hate suntikan,want any vaccine still hate injection,-0.8,0
300,ni pengalaman saya yang selalu terbayang sampai demam menggigil kakak saya melahirkan di rs nah kakak saya dites rapid hasil negatif tapi dia nyatain divaginanya ada bakteri ariseni ada bakteri ya wajar sebelah saya orang tua dari medan dia mau tes gula darah dan dites rapid hasil negatif dan dia diinfus gak ada gejala apa tiba dia meninggal dan dinyatakan covid menurutmu gimana covid kok dibisnisin sih yaaallohh,"This is my experience that is always imagined until the fever shivered my sister gave birth at home, my brother was tested negative but he was diagnosed with Ariseni bacteria, there was bacteria, right next to me, a parent from Medan wanted a blood sugar test and a negative test, and he on the infusion, there were no symptoms when he died and was declared covid, how do you think Covid is doing business, huh?",-0.07857142857142857,0
310,saya gamau di vaksin soalnya sejak kecil saya takut sama jarum,I don't care about vaccines because since I was little I was afraid of needles,-0.39375,0
311,sudah lolos uji klinis belum katanya masih dalam proses uji klinis vase takutnya malah jadi penyakit baru tuh vaksin,"It has passed the clinical trial yet, he said, he is still in the process of clinical trial. Vase is afraid that it will actually become a new disease, the vaccine",-0.15454545454545454,0
313,suntikkan dulu vaksin itu kepada pejawat pemerintah semuanya dulu biar mereka sehat walawiat jadi kalau rapat memutuskan sesuatu biar tidak malam hari kasian mereka lelah memikirkan kebijakan rakyat belakangan,"first inject the vaccine to government nurses, all of them first so that they are perfectly healthy so if the meeting decides something so it won't be late at night they're tired of thinking about people's policies lately",-9.25185853854297e-18,0
314,lelet tetep saja lelet php doang,"just slow, just slow php",-0.30000000000000004,0
318,gue kagak mau divaksin takut stlah divaksin penykit lain yang timbl yang cock divksin itu no dpr ama pemerinth biar jd bhan percobaan nya,"I don't want to be vaccinated, I'm afraid that after being vaccinated against, another disease, the one that was vaccinated, is the Government's DPR number so that it will be tested instead",-0.6,0
319,jangan di percaya corona ini adalah penyakit bisnis bukan penyakit mematikan mematikan buat orang orang miskin dan tidak punya uang kasian tau yang miskin tambah miskin yang kaya tambah melarat,"don't believe this corona is a business disease not a deadly disease for the poor and have no money, sorry for the poor getting poorer the rich getting more destitute",-0.054166666666666696,0
321,kejam nya dunia per bisnisan,cruel world per business,-1.0,0
344,cuma orang bodoh dah tolol yang percaya sama corona,only stupid people who believe in corona,-0.39999999999999997,0
359,gue mah tetep sabar nungguin elo turun semoga umur gue masih ada buat ngeliat elo pensiun im joko,"I'm still patient waiting for you to come down, hopefully my age is still there to see you retire im joko",-0.15555555555555559,0
371,susah punya presiden cina mh euyy semua rakyat indo sengsara,"It's hard to have a Chinese president, hey, all Indo people are miserable",-0.4305555555555556,0
372,maju mundurnya covid tergantung persiden kalau persiden bilang stop jangan ada tes tes lagi maka covid akan berhenti begitu sebaliknya ta akan ada hentinya selagi tes tes terus berjalan,"If the president says stop there is no more testing then covid will stop and vice versa, there will be a stop while the test continues.",-0.25,0
373,ini vaksin bneran ada atau iming ksi harapan palsu supaya krusuhan,this vaccine actually exists or the lure of false hopes so that it will be destroyed,-0.20000000000000004,0
375,ngomong aja susah lelah dengarnya,just talking hard to get tired of it,-0.3458333333333333,0
377,gawat ni pemerintah duit melulu dikeruk ya kan luhut,"This is bad for the government, the money is only being extracted, right?",-0.13809523809523805,0
378,takutnya sih cmn pengalihan issue,I'm afraid of the transfer issue,-0.6,0
387,who tidak senang melihat ini,who is not happy to see this,-0.4,0
395,yang disuntik duluan adalah pasienya dulu ga usah pake relawan kasihan relawan yang ga sakit harus disuntik penyakit dulu baru vaksin langsung saja suntik ke pasien yang sakit,"what is injected first is the patient first, no need to use volunteers, sorry for volunteers who are not sick, they must be injected with the disease first, then just inject the vaccine directly into the sick patient",-0.0010204081632653025,0
397,pertanyaan nya adalah jika vaksin menyebabkan penyakit lain atau ada effect negative nya siapa bertanggung jawab semua process ini menggunakan uang rakyat keputusan ini dihisab di akhirat edit tidak pernah dibahas bagaimana jika ada effect sampingnya rakyat harus kemana,"The question is, if the vaccine causes another disease or has a negative effect, who is responsible for all this process using public money, this decision is made in the afterlife, the edit has never been discussed what if there is a side effect, where should people go",-0.033333333333333326,0
407,coba yang ngomongnya pa maruf amin mungkin masih bisa dipercaya kalo dia yang ngumbar janji lagi biasanya sih ga jadi mirip ama ekonomi meroket september tapi malah nyungsep,"try the talking, Pa Maruf Amen, maybe you can still be trusted. If he makes promises again, usually it doesn't look like the economy skyrocketed September but instead",-0.25,0
410,suka sedih tiba tiba dapat kabar bahagia tiba kabar nya buruk lagi mak pak anak mu ingin mulih kpung ora iso,like sad suddenly get happy news the news is bad again sir your child wants to start kpung ora iso,-0.03999999999999996,0
411,tok tok tok permisi,tok tok tok excuse me,-0.05,0
417,tanpa mengurangi rasa hormat saya pada pak presiden gak ngurus covid takut gak usah ajak kalo anda semua takut silahkan work from home di rumah saja cuci tangan terus pakai masker terus kami tidak memaksa anda untuk tidak takut tapi anda juga harus hargai kami yang tidak memandang bahwa covid itu sebegini mengerikan katanya menjunjung toleransi berdasarkan azaz demokrasi pancasila kami hargai pendapat anda yang memandang covid sebegitu mengerikan maka anda juga harus hargai pendapat kami yang memandang bahwa covid itu tidak begitu mengerikan sekadar ngoceh,"without diminishing my respect for the president, don't take care of covid, fear you don't have to take it if you are all afraid, please work from home at home, wash your hands, keep wearing masks, we don't force you not to be afraid but you also have to respect us who don't see covid it is as terrible as he says he upholds tolerance based on the principles of democracy, Pancasila, we appreciate your opinion that views Covid as so terrible, so you also have to respect our opinion that views that Covid is not so terrible, just babbling",-0.8400000000000001,0
424,yang bilang corona konspirasi idi kacung jangan dikasih haha,those who say corona are conspiracy idiots don't give them haha,-0.30000000000000004,0
428,semoga ngga seperti mobil asemka barang dari tiongkok di modif terus dijual sayangnya ngga laku yang ini juga dari tiongkok tapi mudah an serius karena banyak bohongnya jadi rakyat agak agak gimaanaaa gitu,"I hope it's not like original cars, goods from China in modified continue to be sold, unfortunately it doesn't sell this one from China but it's easy to be serious because there are a lot of lies so the people are a bit gimaanaaa",-0.006249999999999992,0
431,vaksi covid siap januari pas bulan januari vaksin menjadi langka harga mahal cuma orang berduit yang bisa beli,"Covid vaccine is ready for January when January vaccines are rare, expensive prices are only expensive, only the rich can buy",-0.017857142857142856,0
440,gak bagus vidio nya,the video is not good,-0.35,0
444,kalok saya sih mati ya mati soalnya saya ggk takut sma korona masalah mati kan sudah di atur,"if I'm dead, it's dead because I'm not afraid of Coronavirus, the problem of death has been set",-0.03333333333333335,0
462,alhamdulillah masuk sekolah masih lama,Thank God it's still a long time to enter school,-0.05,0
466,capek belajar online saya,I'm tired of studying online,-0.4,0
467,apakah uji coba ini berdampak kepada orang di suntik mengalami demam dengan jangka waktu beberapa hari sebagaimana vaksin lainnya di gunakan ketubuh manusia,did this trial affect the person on the injection to develop a fever with a period of several days as other vaccines use the human body,-0.041666666666666664,0
470,hanya bu siti fadilah kemenkes yang berjasa buat indonesia dia berani melawan musuhnya dia menang eh malah dipenjara inilah negeriku manusia nya suka ngelawak dan takut tunduk banget seperti kambing,"only Mrs. Siti Fadilah the Ministry of Health contributed to Indonesia she dared to fight her enemies she won, even in prison, this is my country, her humans like to joke and are afraid to submit like a goat",-0.3,0
471,gera kabur corona hese neangan pagawean duh,Gera runs away from corona hese neangan pagawean duh,-0.3,0
473,joko bilang agustus produksi juta vaksin covid kok pernyataannya aneh ya ngibul lagi kayaknya nih tu orang masih ada akal nya apa kaga vaksin nya aja bulan ini baru mau dicoba di bandung itu pun blom jelas hasilnya berhasil apa kaga,"joko said that in August, the production of millions of covid vaccines, how come the statement is strange, it looks like people still have some sense, what about the vaccine this month, I just want to try it in Bandung, even though the results are not clear.",-0.05,0
477,maaf tolong dicek apa mungkin sayur pare dapat membunuh virus mhn diuji coba,sorry please check if maybe the bitter melon vegetable can kill the virus mhn tested,-0.3,0
484,sudah hilang covit baru keluar presiden slma ini mana,already missing covit where is this new president slma out,-0.03181818181818183,0
489,no komen ah takut kenapa kenapa,no comments ah afraid why why,-0.6,0
492,masih lama bangett tapi semoga corona hancurr lebur,it's still a long time ago but hopefully the corona will dissolve,-0.05,0
495,vaksinnya itu di berikan pada yang sakit apa bagaimana,how the vaccine is given to the sick,-0.7142857142857143,0
501,saya jadi ingat mobil esemka yang katanya segera muncul di oktober kalo saya gak salah semoga saya salah,"I remember the Esemka car which he said will appear in October. If I'm not wrong, hopefully I'm wrong",-0.125,0
503,at least kita ga pake vaksinnya bill gates,at least we don't use the bill gates vaccine,-0.3,0
512,kl jd reseller vaksinnya bisa ga lumayan untuk bisnis,if a reseller of the vaccine could not be bad for business,-0.6999999999999998,0
514,ini rakyat napa dah saya yakin bnget giliran pejabat di tes duluan ntar dibilang pilih kasih jahat ama rakyat giliran rakyat di tes duluan di bilang ini vaksin flu biasa ada racunnya buktinya pejabat ga di vaksin duluan saya sudah bisa melihat masa depan,"This is the people, why am I sure it was the turn for officials to be tested first, then they said they would choose evil for the people, it was the people's turn in the first test, they said that this is an ordinary flu vaccine, there is poison.",-0.05,0
519,hanya butuh tukang meubel untuk meluluh lantakkan indonesia ternyata bukan tka dari china aja yang ilegal boneka dari solo juga ilegal,"It only took a furniture maker to destroy Indonesia, it turned out that it was not only from China that illegal dolls from solo were also illegal",-0.24,0
536,semenjak ada corona ekonomi masyarakat indonesia jadi burukk semoga vaksin corona sudah di temukan amiiiinnnnn,"Since there is a corona, the economy of the Indonesian people has become bad, hopefully the corona vaccine has been found amiiiinnnnnn",-0.6999999999999998,0
550,vaksin ga gampang buatnya paling cepet itu tahun itu aja kalo berhasil karena butuh banyak percobaan normalnya butuh waktu tahun,"Vaccines are not easy for him. The fastest is that year. If it works, it takes a lot of trials normally takes years",-0.03333333333333334,0
556,sedih sumpah kalau saya inget inget pandemi ini,sad I swear if I remember this pandemic,-0.5,0
569,min bahas mimpi basah donk,"Min, please discuss wet dreams",-0.1,0
571,min tolong bahas mata kabur buram minus,"admin, please discuss minus blurry eyes",-0.1,0
577,kenapa suara orangnya ganti bagusan yang dulu pdahal,why did the voice of the person change the previous goodness?,-0.16666666666666666,0
579,vaksin nya pengen di minum jangan di suntik gak mao di suntikkk,"I want the vaccine to be drunk, don't be injected or not",-0.5,0
589,underrated parah ni channel,badly underrated ni channel,-0.6999999999999998,0
600,juni lama banget,June was really long,-0.05,0
606,min mau nanya kenapa kita bisa merasa bosan,"admin, want to ask why we feel bored",-0.5,0
609,kenapa kita bisa menangis dan apa dampak dari menangis berlebihan tolong dijawab melalui video animasi nya ya thank you buat channel ini sangat bermanfaat,"why can we cry and what are the effects of excessive crying please answer through the animated video, thank you for this channel, it's very useful",-0.02,0
615,aku ra kenal kang idi,I do know idiots,-0.8,0
640,kompas mulai bikin runyam berita,compass is starting to make news messy,-0.1,0
650,lah ini vaksin dari negara kapeeerer kan ya sia uas ma si tungku tukang naik gimana tih,"This is the vaccine from the country of Kapeeerer, right? The furnace is useless, how do you go about it",-0.10714285714285715,0
659,maaf mau survei aja yang tidak mau divaksin like dislike yaa yang mau like,"Sorry, I just want to do a survey that doesn't want to be vaccinated, like Dislike, those who want to like",-0.5,0
661,waktu kita pandemi corona be like santai ngopi nonton waktu kita ceritain ke anak cucu dulu nak cu kita tuh perangg buat dapetin makanan bunuh bunuhaaan,"When we were in the corona pandemic, it was like relaxing coffee watching, when we told our children and grandchildren first, our children and grandchildren were annoyed to get food, kill suicide",-0.07500000000000001,0
663,jatahku diganti mentahnya uang saja pak,"my ration is replaced by raw money, sir",-0.23076923076923078,0
668,apa sudah teruji klinis soalnya masih agak ragu,"if it has been tested clinically, the problem is still a little doubtful",-0.49375,0
677,semoga vaksin tidak semahal tes rapit swap pengalaman vaksin termahal kalian berapa bro wkwk me vaksin hepatitis,"I hope the vaccine is not as expensive as the quick test swap, how many expensive vaccines are you guys when I got the hepatitis vaccine",-0.04166666666666667,0
684,kmaren ada berita katanya desember terus sekarang november lagi sulit diikuti media sekarang,kmaren there is news he said December continues now November is again difficult to follow the media now,-0.5,0
689,who sendiri bilang vaksin atau tanpa vaksin kita tidak pernah bisa hidup seperti zaman dimana corona belum ada,who himself said vaccines or without vaccines we can never live like in an era where there was no corona,-0.06818181818181818,0
695,pasti kena biaya,definitely subject to a fee,-0.16666666666666666,0
700,berita koruptor kmn nie hukum mati,news about corruptors and the law is dead,-0.2,0
703,hanya orang bodoh aja yang prcaya covid tapi rakyat tidak prcaya covid itu apa,Only stupid people believe in Covid but the people don't believe what Covid is,-0.39999999999999997,0
725,tolong cepat vaksinx pak presiden rakyat miskin dengan kjahatan yang mrajalela rampok preman oknum pol yang ikut rampoki barang rakyat pake pasal covids jbr,Please quickly vaccinate the president of the poor people with a crime that mrajalela robs unscrupulous policemen who participate in robbing people's goods using the covids article jbr,-0.033333333333333354,0
727,tolong cepat vaksinx pak prediden rakyat sudah miskin miskin dengan ulah oknum pol yang mrampasi barang dagangan rakyat dengan pasal covidsnya yang meng ada jawa timur pak,"Please quickly vaccinate, sir, the people are poor and poor with the actions of policemen who grab people's merchandise with the Covids article that exists in East Java, sir",-0.15555555555555559,0
741,kenapa tidak sekarang aja sudah tau rakyat susah mau makan,why not just now know that people find it difficult to eat,-0.5,0
745,sekalipun vaksin buatan indonesia di produksi massal pada bulan januari mungkin saja baiknya vaksin buatan negara luar di berikan ke penderita covid sebelum tanggal november kawatir aja mulai tanggal november hujan lebat sering mengguyur bumi indonesia,"Even though the Indonesian-made vaccines were in mass production in January, it might be better if foreign-made vaccines were given to Covid sufferers before November, I'm afraid that starting November, heavy rain often flushes Indonesia's earth",-0.075,0
749,aminin sajalah walapun sulit percanya sama pemerintah sekarang mudah mudahan tidak php,"Just amen. Even though it is difficult to ask the government now, hopefully not PHP",-0.5,0
759,panjang usia pak apa mungkin jihh penyebaranya mniko di akibatkan oleh terlalu bebasnya obyek wisata and penyedia layanan jihhh kok kulon progo barat tempat saya pendeminya mningkat kabarnya entah benar salah mniko njih,"longevity sir, is it possible that the distribution is due to too free a tourist attraction and service providers jihhh, how come the progo barat kulon where I am a customer has increased the news is that it is really wrong.",-0.056249999999999994,0
